"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10160","registration","chrome","2026-04-30","passed","2026-04-30","parallel test","TCregister.spec.js","",""
"","4502","login","chrome","2026-04-30","passed","2026-04-30","parallel test","TCregister.spec.js","",""
